,twitch
2013-10-27,68
2013-11-03,61
2013-11-10,66
2013-11-17,91
2013-11-24,77
2013-12-01,67
2013-12-08,73
2013-12-15,73
2013-12-22,60
2013-12-29,74
2014-01-05,60
2014-01-12,53
2014-01-19,79
2014-01-26,88
2014-02-02,79
2014-02-09,69
2014-02-16,83
2014-02-23,72
2014-03-02,79
2014-03-09,67
2014-03-16,66
2014-03-23,64
2014-03-30,61
2014-04-06,72
2014-04-13,55
2014-04-20,68
2014-04-27,72
2014-05-04,65
2014-05-11,62
2014-05-18,60
2014-05-25,48
2014-06-01,53
2014-06-08,53
2014-06-15,57
2014-06-22,59
2014-06-29,63
2014-07-06,68
2014-07-13,65
2014-07-20,79
2014-07-27,61
2014-08-03,80
2014-08-10,69
2014-08-17,74
2014-08-24,100
2014-08-31,83
2014-09-07,74
2014-09-14,91
2014-09-21,71
2014-09-28,83
2014-10-05,76
2014-10-12,64
2014-10-19,64
2014-10-26,59
2014-11-02,57
2014-11-09,67
2014-11-16,56
2014-11-23,54
2014-11-30,51
2014-12-07,67
2014-12-14,63
2014-12-21,48
2014-12-28,51
2015-01-04,49
2015-01-11,47
2015-01-18,60
2015-01-25,67
2015-02-01,58
2015-02-08,74
2015-02-15,87
2015-02-22,65
2015-03-01,68
2015-03-08,74
2015-03-15,71
2015-03-22,75
2015-03-29,68
2015-04-05,70
2015-04-12,71
2015-04-19,67
2015-04-26,61
2015-05-03,62
2015-05-10,62
2015-05-17,62
2015-05-24,65
2015-05-31,57
2015-06-07,60
2015-06-14,74
2015-06-21,66
2015-06-28,73
2015-07-05,84
2015-07-12,89
2015-07-19,87
2015-07-26,82
2015-08-02,82
2015-08-09,90
2015-08-16,97
2015-08-23,87
2015-08-30,77
2015-09-06,83
2015-09-13,75
2015-09-20,78
2015-09-27,100
2015-10-04,85
2015-10-11,100
2015-10-18,76
2015-10-25,73
2015-11-01,58
2015-11-08,67
2015-11-15,59
2015-11-22,66
2015-11-29,61
2015-12-06,74
2015-12-13,63
2015-12-20,55
2015-12-27,67
2016-01-03,63
2016-01-10,77
2016-01-17,88
2016-01-24,84
2016-01-31,92
2016-02-07,80
2016-02-14,84
2016-02-21,85
2016-02-28,86
2016-03-06,70
2016-03-13,76
2016-03-20,68
2016-03-27,70
2016-04-03,78
2016-04-10,82
2016-04-17,80
2016-04-24,69
2016-05-01,81
2016-05-08,84
2016-05-15,61
2016-05-22,75
2016-05-29,62
2016-06-05,74
2016-06-12,74
2016-06-19,74
2016-06-26,75
2016-07-03,79
2016-07-10,65
2016-07-17,83
2016-07-24,70
2016-07-31,69
2016-08-07,60
2016-08-14,75
2016-08-21,85
2016-08-28,73
2016-09-04,75
2016-09-11,97
2016-09-18,79
2016-09-25,100
2016-10-02,87
2016-10-09,71
2016-10-16,70
2016-10-23,71
2016-10-30,76
2016-11-06,73
