04-08,0,0,0,0,20,15,41,39,40,85,20,51
04-09,0,0,0,0,17,25,40,53,65,65,22,53
04-10,0,0,0,0,18,26,41,62,79,52,23,7
04-11,0,0,0,0,34,28,48,65,50,54,14,44
04-12,0,0,0,0,0,26,61,77,21,41,24,30
04-13,0,0,0,0,17,50,68,39,42,43,29,67
04-14,0,0,0,0,0,22,43,64,30,49,26,24
04-15,0,0,0,0,20,33,52,51,80,51,30,57
04-16,0,0,0,0,16,20,34,44,57,59,15,40
04-17,0,0,0,0,0,23,45,48,87,39,14,34
04-18,0,0,0,0,0,17,49,64,30,61,18,55
04-19,0,0,0,0,34,20,66,54,60,49,14,50
04-20,0,0,0,0,0,38,45,31,50,39,28,48
04-21,0,0,0,0,20,45,39,32,44,46,16,84
04-22,0,0,0,0,19,27,62,48,47,100,15,49
04-23,0,0,0,100,16,20,44,28,68,61,17,40
04-24,0,0,0,0,16,25,34,33,46,59,23,37
04-25,0,0,0,0,33,33,50,65,38,56,18,42
04-26,0,0,0,0,17,25,77,55,40,61,15,59
04-27,0,0,0,0,0,30,49,35,54,33,20,92
04-28,0,0,0,0,59,31,43,31,36,58,38,74
04-29,0,0,0,0,0,25,55,44,47,54,20,33
04-30,0,0,100,0,0,20,44,50,64,55,22,39
05-01,0,0,0,0,0,21,34,30,40,51,30,51
05-02,0,0,0,0,33,13,45,67,41,38,15,40
05-03,0,0,0,0,16,23,65,44,43,37,25,53
05-04,0,0,0,0,51,28,61,27,57,50,22,45
05-05,0,0,0,0,80,22,23,33,80,48,28,42
05-06,0,100,0,0,0,29,32,41,66,70,25,39
05-07,0,0,0,0,65,20,39,55,80,62,23,36
05-08,0,0,0,0,0,22,70,62,82,45,16,55
05-09,0,0,0,0,0,15,54,66,58,45,29,23
05-10,0,0,0,0,16,15,71,68,46,55,20,59
05-11,0,0,0,0,67,22,55,51,65,58,29,38
05-12,0,0,0,0,20,27,32,36,40,73,34,82
05-13,0,0,0,0,19,19,41,53,66,86,38,59
05-14,0,0,0,0,16,30,32,49,79,77,20,46
05-15,0,0,0,0,48,15,39,42,68,37,20,36
05-16,0,0,0,0,33,12,46,47,49,68,25,49
05-17,0,0,0,0,16,45,41,52,59,35,20,78
05-18,0,0,0,0,100,32,58,40,48,40,22,49
05-19,0,0,0,0,19,41,38,40,42,49,29,51
05-20,0,0,0,0,57,19,43,28,60,57,30,54
05-21,0,0,0,0,49,19,49,46,70,46,24,58
05-22,0,0,0,0,32,33,32,67,47,28,11,42
05-23,0,0,0,0,16,36,39,64,42,39,21,51
05-24,0,0,0,0,33,44,64,57,56,36,23,66
05-25,0,0,0,0,16,38,61,42,36,39,32,66
05-26,0,0,0,0,39,46,43,34,29,48,23,70
05-27,0,0,0,0,94,26,32,45,38,59,29,45
05-28,0,0,0,0,15,19,37,38,76,53,18,41
05-29,0,0,0,0,0,22,35,55,50,48,28,69
05-30,0,0,0,0,32,19,35,62,43,63,23,60
05-31,0,0,0,0,16,25,68,48,51,39,20,76
06-01,0,0,0,0,33,61,59,28,44,43,19,50
06-02,0,0,0,0,96,48,56,46,37,47,26,64
06-03,0,0,0,0,37,21,44,40,23,64,27,55
06-04,0,0,0,0,16,26,45,48,65,56,13,46
06-05,0,0,0,0,0,19,42,47,60,37,26,41
06-06,0,0,0,0,32,20,31,39,45,60,21,59
06-07,0,0,0,0,16,22,61,53,44,38,17,90
06-08,0,0,0,0,82,30,45,30,53,34,25,74
06-09,0,0,0,0,19,40,44,51,64,51,17,87
06-10,0,0,0,0,37,33,45,46,41,48,30,21
06-11,0,0,0,0,45,31,47,40,78,56,21,34
06-12,0,0,0,0,15,23,45,56,55,36,21,64
06-13,0,0,0,0,0,30,51,69,57,37,27,46
06-14,0,0,0,0,0,27,76,45,51,47,19,34
06-15,0,0,0,0,48,50,56,43,50,44,26,54
06-16,0,0,0,0,18,45,47,24,36,44,29,53
06-17,0,0,0,0,93,37,44,49,42,51,29,37
06-18,0,0,0,0,15,14,33,44,70,55,16,56
06-19,0,0,0,0,29,30,27,53,45,39,20,66
06-20,0,0,0,0,43,49,45,68,29,27,17,50
06-21,0,0,0,0,92,28,50,58,59,38,23,44
06-22,0,0,0,0,97,100,60,37,66,32,19,67
06-23,0,0,0,0,76,66,34,37,49,36,16,51
06-24,0,0,91,0,38,23,43,50,68,46,27,37
06-25,0,0,0,0,16,38,57,57,74,53,25,41
06-26,0,0,0,0,16,26,43,46,55,29,21,50
06-27,0,0,0,0,32,31,54,44,46,27,20,42
06-28,0,0,0,0,16,33,70,60,51,37,23,57
06-29,0,0,0,0,49,38,54,45,69,38,19,50
06-30,0,0,0,0,77,35,52,64,52,43,19,41
07-01,0,0,0,0,0,42,52,31,45,66,61,31
07-02,0,0,0,0,7,38,47,34,74,52,51,54
07-03,0,0,0,47,11,55,50,53,47,42,64,84
07-04,0,0,0,0,7,62,59,46,33,42,65,59
07-05,0,0,0,0,0,34,54,44,53,52,44,39
07-06,0,0,0,0,11,55,44,35,39,67,36,56
07-07,0,0,0,0,4,65,37,36,50,71,52,46
07-08,0,0,0,0,9,30,43,40,45,100,62,25
07-09,0,0,0,47,14,33,40,49,53,79,38,69
07-10,0,0,0,0,0,61,53,69,36,51,70,57
07-11,0,0,0,0,7,43,57,63,46,48,49,48
07-12,0,0,0,0,0,71,44,54,42,42,42,45
07-13,0,0,0,0,18,49,54,55,37,35,62,78
07-14,0,0,0,0,13,63,39,64,32,50,71,70
07-15,0,0,0,0,4,40,33,61,45,66,28,38
07-16,0,0,0,0,14,30,48,52,52,49,40,47
07-17,0,0,0,0,7,31,56,42,44,45,70,60
07-18,0,0,0,0,10,46,56,100,50,39,82,68
07-19,0,0,0,0,4,50,65,61,51,35,55,56
07-20,0,0,0,0,14,84,51,46,38,51,76,74
07-21,0,0,0,0,13,32,54,45,41,37,85,51
07-22,0,0,0,0,13,49,43,49,40,43,62,40
07-23,0,0,0,0,7,71,58,50,51,43,30,46
07-24,0,0,0,0,21,55,47,49,52,51,67,37
07-25,0,0,0,0,7,40,58,63,36,42,63,66
07-26,0,0,0,0,3,46,69,69,47,51,59,85
07-27,0,0,0,0,0,47,54,37,32,40,56,70
07-28,0,0,0,0,9,57,42,41,42,43,69,70
07-29,0,0,0,0,9,24,49,40,33,73,59,58
07-30,0,0,0,45,7,44,35,41,60,49,35,43
07-31,0,0,0,0,7,60,45,45,56,61,44,66
08-01,0,0,0,33,6,28,70,58,33,32,72,46
08-02,0,0,0,0,17,61,33,67,33,60,52,50
08-03,0,0,0,0,21,67,74,40,42,48,40,56
08-04,0,0,0,0,0,42,48,41,60,43,66,46
08-05,0,0,0,0,13,29,49,54,45,61,57,54
08-06,0,0,0,0,3,56,51,39,54,46,44,51
08-07,0,0,0,0,10,56,89,54,41,34,62,18
08-08,0,0,0,0,14,57,45,71,34,48,50,45
08-09,0,0,0,0,3,46,61,40,39,44,48,39
08-10,0,0,0,0,4,67,61,46,28,49,56,52
08-11,0,0,0,0,25,43,42,39,32,33,94,45
08-12,0,0,0,34,8,24,37,41,29,70,69,66
08-13,0,0,0,0,7,35,62,57,51,41,49,48
08-14,0,0,0,0,7,48,34,74,42,28,65,54
08-15,0,0,0,0,3,48,53,64,38,41,65,77
08-16,0,0,0,0,16,43,62,77,44,34,55,58
08-17,0,0,0,0,3,46,45,61,54,35,56,86
08-18,0,0,0,0,12,43,66,78,49,73,100,38
08-19,0,0,0,0,24,44,61,51,52,31,53,50
08-20,0,0,0,0,10,53,48,51,48,51,77,54
08-21,0,0,0,0,0,51,53,73,71,49,59,51
08-22,0,0,0,31,10,49,39,51,39,37,65,50
08-23,0,0,0,0,13,54,96,49,48,60,64,82
08-24,0,0,0,0,17,46,60,51,34,38,54,76
08-25,0,0,0,0,16,41,67,53,48,39,81,74
08-26,0,0,0,0,8,45,64,48,41,51,86,63
08-27,0,0,0,0,9,50,69,57,42,80,60,72
08-28,0,0,0,0,23,75,64,49,32,43,52,76
08-29,0,0,0,0,10,82,73,64,33,29,76,42
08-30,0,0,0,0,17,65,97,39,37,37,45,62
08-31,0,0,0,0,22,69,73,43,32,43,56,100
09-01,0,0,0,0,16,53,40,41,49,37,79,52
09-02,0,0,0,0,36,35,36,43,56,60,38,49
09-03,0,0,0,42,10,25,62,50,58,56,52,35
09-04,0,100,0,0,14,44,68,51,58,25,72,29
09-05,0,0,0,0,14,30,48,53,51,28,55,44
